type_id,kind_id,id,name,search_word,carbohydrate_per_100g,carbohydrate_per_weight,weight,weight_hint,calory,protein,fat,sodium,deleted_flg
6,37,1082,雪印とろけるナチュラルチーズ,,0.3,0.3,100,,368,26.7,28.9,1.7,FALSE
6,37,1083,雪印クリームチーズ,,3.1,3.1,100,,341,9.2,32.5,0.8,FALSE
6,37,1084,雪印北海道コンデンスミルク,,55.5,55.5,100,,328,7.9,8.3,0.2,FALSE
6,37,1085,雪印北海道カッテージチーズ,,1.5,1.5,100,,112,17.6,4,1,FALSE
6,37,1086,雪印北海道100粉チーズ芳醇,,4,0.2,5,,25,1.9,1.9,0.3,FALSE
6,37,1087,雪印恵megumiがゼリ菌SP株ヨーグルト,,4.8,4.8,100,,35,3.7,0,0.1,FALSE
6,37,1088,雪印ナチュレ恵,,5.2,5.2,100,,63,3.6,3.1,0.1,FALSE
6,37,1089,雪印牧場の朝ヨーグルト生乳仕立て,,14.6,10.2,70,,64,2.5,1.5,0.1,FALSE
6,38,1090,フジッコ朝のたべるスープかぼちゃのチャウダー,,10.7,21.4,200,,176,4.4,7,1.8,FALSE
6,38,1091,フジッコ朝のたべるスープミネストローネ,,9.3,18.6,200,,123,4.4,2,1.7,FALSE
6,38,1092,フジッコ朝のたべるスープコーンチャウダー,,10,20,200,,171,5.4,6.6,1.8,FALSE
6,38,1093,フジッコ朝のたべるスープ3種のきのこチャウダー,,7.6,13.7,180,,109,4.1,3.6,1.4,FALSE
6,38,1094,フジッコ朝のたべるスープじゃがいものチャウダー,,7.9,15.8,200,,145,6,5.2,1.4,FALSE
6,39,1095,グリコ野菜たっぷり塩焼きそば,,8.6,22.1,257,,216,13.4,5.4,3.2,FALSE
6,39,1096,グリコ野菜たっぷり麺醤油味,,9.5,26.5,280,,216,15,3.1,4.8,FALSE
6,39,1097,グリコ野菜たっぷり麺とんこつ醤油味,,8.2,23,280,,252,15.4,8.4,6.8,FALSE
6,39,1098,グリコ野菜たっぷり麺旨辛ごま味,,8.6,24,280,,253,16.4,7.5,7.4,FALSE
6,40,1099,大塚製薬カロリーメイトチーズ味,,50.9,40.7,80,,400,8.4,22.2,0.9,FALSE
6,40,1100,大塚製薬カロリーメイトチョコレート味,,50,40,80,,400,8.7,22.4,0.8,FALSE
6,40,1101,大塚製薬カロリーメイトメープル味,,50.4,40.3,80,,400,8.1,22.6,0.8,FALSE
6,40,1102,大塚製薬カロリーメイトゼリーアップル味,,14.5,31.2,215,,200,8.2,4.4,0.1,FALSE
6,40,1103,大塚製薬SOYJOY3種のレーズン,,36,10.8,30,,133,4.6,7.3,0.2,FALSE
6,40,1104,大塚製薬SOYJOYピーナッツ,,22.3,6.7,30,,144,6.5,9.5,0.2,FALSE
6,40,1105,大塚製薬SOYJOYストロベリー,,35.7,10.7,30,,133,4.3,7.3,0.2,FALSE
6,41,1106,マクドナルドハンバーガー,,26.5,28.6,108,,260,13.3,9.6,1.9,FALSE
6,41,1107,マクドナルドチーズバーガー,,23.9,29.1,122,,310,16.2,13.5,2.4,FALSE
6,41,1108,マクドナルドチキンクリスプ,,27.8,35.6,128,,358,12.8,17.4,2,FALSE
6,41,1109,マクドナルドエッグチーズバーガー,,16.9,29.3,173,,390,22.7,19,2.5,FALSE
6,41,1110,マクドナルドフィレオフィッシュ,,25.2,35,139,,341,15.6,14.6,1.4,FALSE
6,41,1111,マクドナルドえびフィレオ,,24.3,43.5,179,,391,12.5,17.6,2.2,FALSE
6,41,1112,マクドナルドてりやきマックバーガー,,24,39.3,164,,519,15.4,32.7,2,FALSE
6,41,1113,マクドナルドダブルチーズバーガー,,16.6,29.6,178,,463,27.4,25.2,3.8,FALSE
6,41,1114,マクドナルドビッグマック,,17.3,39,225,,530,27.1,28.2,3.4,FALSE
6,41,1115,マクドナルドソーセージマフィン,,22.3,24.7,111,,388,15.1,24.6,1.8,FALSE
6,41,1116,マクドナルドマックグリドルベーコンエッグ,,24.6,40.6,165,,396,15.7,18.1,2.6,FALSE
6,41,1117,マクドナルドマックフライポテト,,36.1,48.8,135,,454,5.3,24.2,0.6,FALSE
6,41,1118,マクドナルドチキンマックナゲット(バーベキューソース),,16.5,19.8,120,,313,14.6,19,1.7,FALSE
6,41,1119,マクドナルドシャカチキチェダーチーズ,,18.6,17.9,96,,235,15.2,11,2,FALSE
6,41,1120,マクドナルドホットアップルパイ,,31.5,25.5,81,,211,1.7,10.9,0.6,FALSE
